Index,Energia_Esq,Energia_Dir,Canhoes_Esq,Canhoes_Dir,Intervalo_Esq_ms,Intervalo_Dir_ms
0,100.00,100.00,0,0,0.00,0.00
1,100.00,100.00,0,0,0.00,0.00
2,100.00,100.00,0,0,0.00,0.00
3,100.00,100.00,0,0,0.00,0.00
4,100.00,100.00,0,0,0.00,0.00
5,100.00,100.00,0,0,0.00,0.00
6,100.00,100.00,0,0,0.00,0.00
7,100.00,100.00,0,0,0.00,0.00
8,100.00,100.00,0,0,0.00,0.00
9,99.00,99.00,1,1,1500.00,1500.00
10,98.00,98.00,1,1,1500.00,1500.00
11,97.00,97.10,1,1,1500.00,1500.00
12,98.00,98.00,2,2,1500.00,1500.00
13,96.00,96.10,2,2,1500.00,1500.00
14,94.30,98.00,2,2,1500.00,1500.00
15,91.40,95.40,3,3,1500.00,1500.00
16,88.40,92.40,3,3,1500.00,1500.00
17,93.00,93.20,3,3,1500.00,1500.00
18,89.20,89.90,4,4,1500.00,1500.00
19,85.20,85.90,4,4,1500.00,1500.00
20,81.60,89.10,4,4,1500.00,1500.00
21,77.80,87.70,4,5,1500.00,1500.00
22,73.80,82.70,4,5,1500.00,1500.00
23,69.80,78.00,4,5,1500.00,1500.00
24,64.80,84.10,5,5,1500.00,1500.00
25,59.80,79.10,5,5,1500.00,1500.00
26,61.80,81.10,5,5,1500.00,1500.00
27,63.80,83.10,5,5,1500.00,1500.00
28,58.80,78.10,5,5,1500.00,1500.00
29,64.60,76.60,5,5,1500.00,1500.00
30,59.60,71.60,5,5,1500.00,1500.00
31,54.60,66.60,5,5,1500.00,1500.00
32,53.20,68.60,5,5,1500.00,1500.00
33,54.20,64.20,6,5,1800.00,1500.00
34,48.20,59.20,6,5,1800.00,1500.00
35,45.90,57.70,6,5,1800.00,1500.00
36,40.90,56.80,5,5,1500.00,1500.00
37,46.40,51.80,5,5,1500.00,1500.00
38,44.90,53.80,5,5,1500.00,1500.00
39,39.90,55.90,5,5,1500.00,1500.00
40,39.30,50.90,5,5,1500.00,1500.00
41,37.90,53.50,5,5,1500.00,1500.00
42,36.40,52.00,5,5,1500.00,1500.00
43,38.40,50.50,5,5,1500.00,1500.00
44,41.00,52.50,5,5,1500.00,1500.00
45,36.00,51.30,5,5,1500.00,1500.00
46,38.00,46.30,5,5,1500.00,1500.00
47,36.50,52.40,5,5,1500.00,1500.00
48,35.00,51.20,5,5,1500.00,1500.00
49,37.30,53.20,5,5,1500.00,1500.00
50,36.40,48.20,5,5,1500.00,1500.00
51,31.40,57.20,5,5,1500.00,1500.00
52,30.50,52.20,5,5,1500.00,1500.00
53,32.50,49.00,5,5,1500.00,1500.00
54,31.00,54.80,5,5,1500.00,1500.00
55,33.60,49.80,5,5,1500.00,1500.00
56,39.70,49.50,5,5,1500.00,1500.00
57,34.70,48.00,5,5,1500.00,1500.00
58,47.20,43.30,5,5,1500.00,1500.00
59,53.00,52.90,5,5,1500.00,1500.00
